ID de Factura,Sucursal,Tipo Cliente,Genero,Categoria,Precio Unitario,Cantidad,Impuesto 5%,Total,Fecha,Hora,Pago,Costo de Bienes Vendidos,Porcentaje de Margen Bruto,Ingreso Bruto
329-62-1586,TROMPILLO,Normal,Masculino,Lacteos,54.67,3,8.2005,172.2105,1/21/2019,18:00,Tarjeta de credito,164.01,4.761904762,8.2005
319-50-3348,REYES,Normal,Femenino,Despensa y Abarrotes,40.3,2,4.03,84.63,3/11/2019,15:30,Monedero electrónico,80.6,4.761904762,4.03
300-71-4605,URUBO FIDALGA,Miembro,Masculino,Congelados,86.04,5,21.51,451.71,2/25/2019,11:24,Monedero electrónico,430.2,4.761904762,21.51
371-85-5789,EQUIPETROL,Normal,Masculino,Congelados,87.98,3,13.197,277.137,3/5/2019,10:40,Monedero electrónico,263.94,4.761904762,13.197
273-16-6619,EQUIPETROL,Normal,Masculino,Bebidas,33.2,2,3.32,69.72,3/15/2019,12:20,Tarjeta de credito,66.4,4.761904762,3.32
636-48-8204,SUR,Normal,Masculino,Panaderia,34.56,5,8.64,181.44,2/17/2019,11:15,Monedero electrónico,172.8,4.761904762,8.64
549-59-1358,TROMPILLO,Miembro,Masculino,Panaderia,88.63,3,13.2945,279.1845,3/2/2019,17:36,Monedero electrónico,265.89,4.761904762,13.2945
227-03-5010,TROMPILLO,Miembro,Femenino,Panaderia,52.59,8,21.036,441.756,3/22/2019,19:20,Tarjeta de credito,420.72,4.761904762,21.036
649-29-6775,TROMPILLO,Normal,Masculino,Limpieza Del Hogar,33.52,1,1.676,35.196,2/8/2019,15:31,Efectivo,33.52,4.761904762,1.676
189-17-4241,TROMPILLO,Normal,Femenino,Congelados,87.67,2,8.767,184.107,3/10/2019,12:17,Tarjeta de credito,175.34,4.761904762,8.767
145-94-9061,URUBO FIDALGA,Normal,Femenino,Limpieza Del Hogar,88.36,5,22.09,463.89,1/25/2019,19:48,Efectivo,441.8,4.761904762,22.09
848-62-7243,SUR,Normal,Masculino,Lacteos,24.89,9,11.2005,235.2105,3/15/2019,15:36,Efectivo,224.01,4.761904762,11.2005
871-79-8483,URUBO FIDALGA,Normal,Masculino,Snack y Dulces,94.13,5,23.5325,494.1825,2/25/2019,19:39,Tarjeta de credito,470.65,4.761904762,23.5325
149-71-6266,REYES,Miembro,Masculino,Limpieza Del Hogar,78.07,9,35.1315,737.7615,1/28/2019,12:43,Efectivo,702.63,4.761904762,35.1315
640-49-2076,URUBO FIDALGA,Normal,Masculino,Cuidado Personal,83.78,8,33.512,703.752,1/10/2019,14:49,Efectivo,670.24,4.761904762,33.512
595-11-5460,TROMPILLO,Normal,Masculino,Despensa y Abarrotes,96.58,2,9.658,202.818,3/15/2019,10:12,Tarjeta de credito,193.16,4.761904762,9.658
183-56-6882,REYES,Miembro,Femenino,Despensa y Abarrotes,99.42,4,19.884,417.564,2/6/2019,10:42,Monedero electrónico,397.68,4.761904762,19.884
232-16-2483,TROMPILLO,Miembro,Femenino,Snack y Dulces,68.12,1,3.406,71.526,1/7/2019,12:28,Monedero electrónico,68.12,4.761904762,3.406
129-29-8530,EQUIPETROL,Miembro,Masculino,Despensa y Abarrotes,62.62,5,15.655,328.755,3/10/2019,19:15,Monedero electrónico,313.1,4.761904762,15.655
272-65-1806,URUBO FIDALGA,Normal,Femenino,Congelados,60.88,9,27.396,575.316,1/15/2019,17:17,Monedero electrónico,547.92,4.761904762,27.396
333-73-7901,URUBO FIDALGA,Normal,Femenino,Despensa y Abarrotes,54.92,8,21.968,461.328,3/23/2019,13:24,Monedero electrónico,439.36,4.761904762,21.968
777-82-7220,REYES,Miembro,Masculino,Panaderia,30.12,8,12.048,253.008,3/3/2019,13:01,Efectivo,240.96,4.761904762,12.048
280-35-5823,URUBO FIDALGA,Miembro,Femenino,Snack y Dulces,86.72,1,4.336,91.056,1/17/2019,18:45,Monedero electrónico,86.72,4.761904762,4.336
554-53-8700,EQUIPETROL,Miembro,Masculino,Cuidado Personal,56.11,2,5.611,117.831,2/2/2019,10:11,Efectivo,112.22,4.761904762,5.611
354-25-5821,EQUIPETROL,Miembro,Femenino,Panaderia,69.12,6,20.736,435.456,2/8/2019,13:03,Efectivo,414.72,4.761904762,20.736
228-96-1411,URUBO FIDALGA,Miembro,Femenino,Congelados,98.7,8,39.48,829.08,3/4/2019,20:39,Efectivo,789.6,4.761904762,39.48
617-15-4209,EQUIPETROL,Miembro,Masculino,Lacteos,15.37,2,1.537,32.277,3/16/2019,19:47,Efectivo,30.74,4.761904762,1.537
132-32-9879,SUR,Miembro,Femenino,Despensa y Abarrotes,93.96,4,18.792,394.632,3/9/2019,18:00,Efectivo,375.84,4.761904762,18.792
370-41-7321,SUR,Miembro,Masculino,Snack y Dulces,56.69,9,25.5105,535.7205,2/27/2019,17:24,Tarjeta de credito,510.21,4.761904762,25.5105
727-46-3608,REYES,Miembro,Femenino,Panaderia,20.01,9,9.0045,189.0945,2/6/2019,15:47,Monedero electrónico,180.09,4.761904762,9.0045
669-54-1719,TROMPILLO,Miembro,Masculino,Lacteos,18.93,6,5.679,119.259,2/10/2019,12:45,Tarjeta de credito,113.58,4.761904762,5.679
574-22-5561,URUBO FIDALGA,Miembro,Femenino,Congelados,82.63,10,41.315,867.615,3/19/2019,17:08,Monedero electrónico,826.3,4.761904762,41.315
326-78-5178,TROMPILLO,Miembro,Masculino,Carnes y Embutidos,91.4,7,31.99,671.79,2/3/2019,10:19,Efectivo,639.8,4.761904762,31.99
162-48-8011,SUR,Miembro,Femenino,Congelados,44.59,5,11.1475,234.0975,2/10/2019,15:10,Efectivo,222.95,4.761904762,11.1475
616-24-2851,URUBO FIDALGA,Miembro,Femenino,Carnes y Embutidos,17.87,4,3.574,75.054,3/22/2019,14:42,Monedero electrónico,71.48,4.761904762,3.574
778-71-5554,SUR,Miembro,Masculino,Limpieza Del Hogar,15.43,1,0.7715,16.2015,1/25/2019,15:46,Tarjeta de credito,15.43,4.761904762,0.7715
242-55-6721,URUBO FIDALGA,Normal,Masculino,Despensa y Abarrotes,16.16,2,1.616,33.936,3/7/2019,11:49,Monedero electrónico,32.32,4.761904762,1.616
399-46-5918,REYES,Normal,Femenino,Snack y Dulces,85.98,8,34.392,722.232,2/28/2019,19:01,Efectivo,687.84,4.761904762,34.392
106-35-6779,TROMPILLO,Miembro,Masculino,Panaderia,44.34,2,4.434,93.114,3/27/2019,11:26,Efectivo,88.68,4.761904762,4.434
635-40-6220,REYES,Normal,Masculino,Limpieza Del Hogar,89.6,8,35.84,752.64,2/7/2019,11:28,Monedero electrónico,716.8,4.761904762,35.84
817-48-8732,SUR,Miembro,Femenino,Congelados,72.35,10,36.175,759.675,1/20/2019,15:55,Efectivo,723.5,4.761904762,36.175
120-06-4233,REYES,Normal,Masculino,Congelados,30.61,6,9.183,192.843,3/12/2019,20:36,Efectivo,183.66,4.761904762,9.183
285-68-5083,SUR,Miembro,Femenino,Panaderia,24.74,3,3.711,77.931,2/15/2019,17:47,Tarjeta de credito,74.22,4.761904762,3.711
803-83-5989,REYES,Normal,Masculino,Bebidas,55.73,6,16.719,351.099,2/24/2019,10:55,Monedero electrónico,334.38,4.761904762,16.719
347-34-2234,TROMPILLO,Miembro,Femenino,Carnes y Embutidos,55.07,9,24.7815,520.4115,2/3/2019,13:40,Monedero electrónico,495.63,4.761904762,24.7815
199-75-8169,URUBO FIDALGA,Miembro,Masculino,Congelados,15.81,10,7.905,166.005,3/6/2019,12:27,Tarjeta de credito,158.1,4.761904762,7.905
853-23-2453,URUBO FIDALGA,Miembro,Masculino,Cuidado Personal,75.74,4,15.148,318.108,2/14/2019,14:35,Efectivo,302.96,4.761904762,15.148
877-22-3308,TROMPILLO,Miembro,Masculino,Bebidas,15.87,10,7.935,166.635,3/13/2019,16:40,Efectivo,158.7,4.761904762,7.935
838-78-4295,REYES,Normal,Femenino,Snack y Dulces,33.47,2,3.347,70.287,2/10/2019,15:43,Monedero electrónico,66.94,4.761904762,3.347
109-28-2512,URUBO FIDALGA,Miembro,Femenino,Snack y Dulces,97.61,6,29.283,614.943,1/7/2019,15:01,Monedero electrónico,585.66,4.761904762,29.283
232-11-3025,EQUIPETROL,Normal,Masculino,Panaderia,78.77,10,39.385,827.085,1/24/2019,10:04,Efectivo,787.7,4.761904762,39.385
382-03-4532,TROMPILLO,Miembro,Femenino,Panaderia,18.33,1,0.9165,19.2465,2/2/2019,18:50,Efectivo,18.33,4.761904762,0.9165
393-65-2792,REYES,Normal,Masculino,Limpieza Del Hogar,89.48,10,44.74,939.54,1/6/2019,12:46,Tarjeta de credito,894.8,4.761904762,44.74
796-12-2025,REYES,Normal,Masculino,Bebidas,62.12,10,31.06,652.26,2/11/2019,16:19,Efectivo,621.2,4.761904762,31.06
510-95-6347,REYES,Miembro,Femenino,Limpieza Del Hogar,48.52,3,7.278,152.838,3/5/2019,18:17,Monedero electrónico,145.56,4.761904762,7.278
841-35-6630,URUBO FIDALGA,Normal,Femenino,Despensa y Abarrotes,75.91,6,22.773,478.233,3/9/2019,18:21,Efectivo,455.46,4.761904762,22.773
287-21-9091,TROMPILLO,Normal,Masculino,Bebidas,74.67,9,33.6015,705.6315,1/22/2019,10:55,Monedero electrónico,672.03,4.761904762,33.6015
732-94-0499,REYES,Normal,Femenino,Lacteos,41.65,10,20.825,437.325,1/13/2019,17:04,Tarjeta de credito,416.5,4.761904762,20.825
263-10-3913,SUR,Miembro,Masculino,Lacteos,49.04,9,22.068,463.428,1/9/2019,14:20,Tarjeta de credito,441.36,4.761904762,22.068
381-20-0914,EQUIPETROL,Miembro,Femenino,Lacteos,20.01,9,9.0045,189.0945,1/12/2019,15:48,Tarjeta de credito,180.09,4.761904762,9.0045
829-49-1914,REYES,Miembro,Femenino,Snack y Dulces,78.31,10,39.155,822.255,3/5/2019,16:24,Monedero electrónico,783.1,4.761904762,39.155
756-01-7507,EQUIPETROL,Normal,Femenino,Snack y Dulces,20.38,5,5.095,106.995,1/22/2019,18:56,Efectivo,101.9,4.761904762,5.095
870-72-4431,EQUIPETROL,Normal,Femenino,Panaderia,99.19,6,29.757,624.897,1/21/2019,14:42,Tarjeta de credito,595.14,4.761904762,29.757
847-38-7188,URUBO FIDALGA,Normal,Femenino,Cuidado Personal,96.68,3,14.502,304.542,1/26/2019,19:56,Monedero electrónico,290.04,4.761904762,14.502
480-63-2856,SUR,Normal,Masculino,Bebidas,19.25,8,7.7,161.7,1/23/2019,18:37,Monedero electrónico,154.0,4.761904762,7.7
787-56-0757,EQUIPETROL,Miembro,Femenino,Congelados,80.36,4,16.072,337.512,2/23/2019,18:45,Tarjeta de credito,321.44,4.761904762,16.072
360-39-5055,SUR,Miembro,Masculino,Despensa y Abarrotes,48.91,5,12.2275,256.7775,3/9/2019,10:17,Efectivo,244.55,4.761904762,12.2275
730-50-9884,TROMPILLO,Normal,Femenino,Bebidas,83.06,7,29.071,610.491,3/5/2019,14:31,Monedero electrónico,581.42,4.761904762,29.071
362-58-8315,EQUIPETROL,Normal,Masculino,Cuidado Personal,76.52,5,19.13,401.73,3/25/2019,10:23,Efectivo,382.6,4.761904762,19.13
633-44-8566,REYES,Miembro,Masculino,Cuidado Personal,49.38,7,17.283,362.943,3/27/2019,20:35,Tarjeta de credito,345.66,4.761904762,17.283
504-35-8843,EQUIPETROL,Normal,Masculino,Bebidas,42.47,1,2.1235,44.5935,1/2/2019,16:57,Efectivo,42.47,4.761904762,2.1235
318-68-5053,URUBO FIDALGA,Normal,Femenino,Bebidas,76.99,6,23.097,485.037,2/27/2019,17:55,Efectivo,461.94,4.761904762,23.097
565-80-5980,REYES,Miembro,Femenino,Carnes y Embutidos,47.38,4,9.476,198.996,1/23/2019,10:25,Efectivo,189.52,4.761904762,9.476
225-32-0908,EQUIPETROL,Normal,Femenino,Panaderia,44.86,10,22.43,471.03,1/26/2019,19:54,Monedero electrónico,448.6,4.761904762,22.43
873-51-0671,TROMPILLO,Miembro,Femenino,Carnes y Embutidos,21.98,7,7.693,161.553,1/10/2019,16:42,Monedero electrónico,153.86,4.761904762,7.693
152-08-9985,URUBO FIDALGA,Miembro,Masculino,Congelados,64.36,9,28.962,608.202,3/12/2019,12:09,Tarjeta de credito,579.24,4.761904762,28.962
512-91-0811,REYES,Normal,Masculino,Limpieza Del Hogar,89.75,1,4.4875,94.2375,2/6/2019,20:05,Tarjeta de credito,89.75,4.761904762,4.4875
594-34-4444,SUR,Normal,Masculino,Lacteos,97.16,1,4.858,102.018,3/8/2019,20:38,Monedero electrónico,97.16,4.761904762,4.858
766-85-7061,URUBO FIDALGA,Normal,Masculino,Congelados,87.87,10,43.935,922.635,3/29/2019,10:25,Monedero electrónico,878.7,4.761904762,43.935
871-39-9221,SUR,Normal,Femenino,Snack y Dulces,12.45,6,3.735,78.435,2/9/2019,13:11,Efectivo,74.7,4.761904762,3.735
865-92-6136,EQUIPETROL,Normal,Masculino,Snack y Dulces,52.75,3,7.9125,166.1625,3/23/2019,10:16,Monedero electrónico,158.25,4.761904762,7.9125
733-01-9107,SUR,Normal,Masculino,Despensa y Abarrotes,82.7,6,24.81,521.01,3/5/2019,18:14,Efectivo,496.2,4.761904762,24.81
163-56-7055,REYES,Miembro,Masculino,Panaderia,48.71,1,2.4355,51.1455,3/26/2019,19:20,Efectivo,48.71,4.761904762,2.4355
189-98-2939,SUR,Normal,Masculino,Limpieza Del Hogar,78.55,9,35.3475,742.2975,3/1/2019,13:22,Efectivo,706.95,4.761904762,35.3475
551-21-3069,REYES,Normal,Femenino,Despensa y Abarrotes,23.07,9,10.3815,218.0115,2/1/2019,11:27,Efectivo,207.63,4.761904762,10.3815
212-62-1842,EQUIPETROL,Normal,Masculino,Carnes y Embutidos,58.26,6,17.478,367.038,3/28/2019,16:44,Efectivo,349.56,4.761904762,17.478
716-39-1409,SUR,Normal,Masculino,Snack y Dulces,30.35,7,10.6225,223.0725,3/19/2019,18:19,Efectivo,212.45,4.761904762,10.6225
704-48-3927,TROMPILLO,Miembro,Masculino,Panaderia,88.67,10,44.335,931.035,1/12/2019,14:50,Monedero electrónico,886.7,4.761904762,44.335
628-34-3388,REYES,Normal,Masculino,Snack y Dulces,27.38,6,8.214,172.494,1/5/2019,20:54,Tarjeta de credito,164.28,4.761904762,8.214
630-74-5166,REYES,Normal,Masculino,Carnes y Embutidos,62.13,6,18.639,391.419,3/22/2019,20:19,Efectivo,372.78,4.761904762,18.639
588-01-7461,REYES,Normal,Femenino,Carnes y Embutidos,33.98,9,15.291,321.111,3/24/2019,10:43,Efectivo,305.82,4.761904762,15.291
861-77-0145,REYES,Miembro,Masculino,Snack y Dulces,81.97,10,40.985,860.685,3/3/2019,14:30,Efectivo,819.7,4.761904762,40.985
479-26-8945,EQUIPETROL,Miembro,Femenino,Panaderia,16.49,2,1.649,34.629,2/5/2019,11:32,Monedero electrónico,32.98,4.761904762,1.649
210-67-5886,EQUIPETROL,Miembro,Femenino,Despensa y Abarrotes,98.21,3,14.7315,309.3615,2/5/2019,10:41,Tarjeta de credito,294.63,4.761904762,14.7315
227-78-1148,TROMPILLO,Normal,Femenino,Carnes y Embutidos,72.84,7,25.494,535.374,2/15/2019,12:44,Efectivo,509.88,4.761904762,25.494
645-44-1170,URUBO FIDALGA,Miembro,Masculino,Carnes y Embutidos,58.07,9,26.1315,548.7615,1/19/2019,20:07,Monedero electrónico,522.63,4.761904762,26.1315
237-01-6122,SUR,Miembro,Femenino,Cuidado Personal,80.79,9,36.3555,763.4655,2/1/2019,20:31,Tarjeta de credito,727.11,4.761904762,36.3555
225-98-1496,TROMPILLO,Normal,Femenino,Panaderia,27.02,3,4.053,85.113,3/2/2019,13:01,Tarjeta de credito,81.06,4.761904762,4.053
291-32-1427,URUBO FIDALGA,Miembro,Masculino,Carnes y Embutidos,21.94,5,5.485,115.185,3/5/2019,12:29,Monedero electrónico,109.7,4.761904762,5.485
659-65-8956,TROMPILLO,Miembro,Masculino,Bebidas,51.36,1,2.568,53.928,1/16/2019,15:26,Monedero electrónico,51.36,4.761904762,2.568
642-32-2990,SUR,Normal,Femenino,Limpieza Del Hogar,10.96,10,5.48,115.08,2/2/2019,20:48,Monedero electrónico,109.6,4.761904762,5.48
378-24-2715,REYES,Normal,Masculino,Snack y Dulces,53.44,2,5.344,112.224,1/20/2019,20:38,Monedero electrónico,106.88,4.761904762,5.344
638-60-7125,TROMPILLO,Normal,Femenino,Panaderia,99.56,8,39.824,836.304,2/14/2019,17:03,Tarjeta de credito,796.48,4.761904762,39.824
659-36-1684,REYES,Miembro,Masculino,Congelados,57.12,7,19.992,419.832,1/12/2019,12:02,Tarjeta de credito,399.84,4.761904762,19.992
219-22-9386,EQUIPETROL,Miembro,Masculino,Lacteos,99.96,9,44.982,944.622,3/9/2019,17:26,Tarjeta de credito,899.64,4.761904762,44.982
336-78-2147,EQUIPETROL,Miembro,Masculino,Bebidas,63.91,8,25.564,536.844,3/13/2019,19:52,Tarjeta de credito,511.28,4.761904762,25.564
268-27-6179,URUBO FIDALGA,Miembro,Femenino,Lacteos,56.47,8,22.588,474.348,3/9/2019,14:57,Monedero electrónico,451.76,4.761904762,22.588
668-90-8900,EQUIPETROL,Normal,Femenino,Congelados,93.69,7,32.7915,688.6215,3/10/2019,18:44,Tarjeta de credito,655.83,4.761904762,32.7915
870-54-3162,EQUIPETROL,Normal,Femenino,Carnes y Embutidos,32.25,5,8.0625,169.3125,1/27/2019,13:26,Efectivo,161.25,4.761904762,8.0625
189-08-9157,EQUIPETROL,Normal,Femenino,Carnes y Embutidos,31.73,9,14.2785,299.8485,1/8/2019,16:17,Tarjeta de credito,285.57,4.761904762,14.2785
663-86-9076,URUBO FIDALGA,Miembro,Femenino,Limpieza Del Hogar,68.54,8,27.416,575.736,1/8/2019,15:57,Monedero electrónico,548.32,4.761904762,27.416
549-84-7482,REYES,Normal,Femenino,Bebidas,90.28,9,40.626,853.146,2/8/2019,11:15,Monedero electrónico,812.52,4.761904762,40.626
191-10-6171,TROMPILLO,Normal,Femenino,Cuidado Personal,39.62,7,13.867,291.207,1/25/2019,13:18,Efectivo,277.34,4.761904762,13.867
802-70-5316,TROMPILLO,Miembro,Femenino,Carnes y Embutidos,92.13,6,27.639,580.419,3/6/2019,20:34,Efectivo,552.78,4.761904762,27.639
695-51-0018,TROMPILLO,Normal,Femenino,Carnes y Embutidos,34.84,4,6.968,146.328,2/10/2019,18:36,Efectivo,139.36,4.761904762,6.968
590-83-4591,TROMPILLO,Miembro,Masculino,Limpieza Del Hogar,87.45,6,26.235,550.935,2/17/2019,14:40,Tarjeta de credito,524.7,4.761904762,26.235
483-71-1164,SUR,Normal,Femenino,Snack y Dulces,81.3,6,24.39,512.19,3/8/2019,16:43,Monedero electrónico,487.8,4.761904762,24.39
597-78-7908,EQUIPETROL,Normal,Masculino,Panaderia,90.22,3,13.533,284.193,2/18/2019,19:39,Efectivo,270.66,4.761904762,13.533
700-81-1757,TROMPILLO,Normal,Femenino,Lacteos,26.31,5,6.5775,138.1275,1/18/2019,20:59,Tarjeta de credito,131.55,4.761904762,6.5775
354-39-5160,REYES,Miembro,Femenino,Lacteos,34.42,6,10.326,216.846,2/18/2019,15:39,Efectivo,206.52,4.761904762,10.326
241-72-9525,SUR,Normal,Masculino,Limpieza Del Hogar,51.91,10,25.955,545.055,2/16/2019,12:21,Efectivo,519.1,4.761904762,25.955
575-30-8091,REYES,Normal,Masculino,Snack y Dulces,72.5,8,29.0,609.0,3/16/2019,19:25,Monedero electrónico,580.0,4.761904762,29.0
731-81-9469,URUBO FIDALGA,Miembro,Femenino,Panaderia,89.8,10,44.9,942.9,1/23/2019,13:00,Tarjeta de credito,898.0,4.761904762,44.9
280-17-4359,EQUIPETROL,Miembro,Masculino,Limpieza Del Hogar,90.5,10,45.25,950.25,1/25/2019,13:48,Efectivo,905.0,4.761904762,45.25
338-65-2210,EQUIPETROL,Miembro,Femenino,Panaderia,68.6,10,34.3,720.3,2/5/2019,19:57,Efectivo,686.0,4.761904762,34.3
488-25-4221,REYES,Miembro,Femenino,Cuidado Personal,30.41,1,1.5205,31.9305,2/22/2019,10:36,Tarjeta de credito,30.41,4.761904762,1.5205
239-10-7476,EQUIPETROL,Normal,Femenino,Bebidas,77.95,6,23.385,491.085,1/21/2019,16:37,Monedero electrónico,467.7,4.761904762,23.385
458-41-1477,EQUIPETROL,Normal,Femenino,Snack y Dulces,46.26,6,13.878,291.438,3/8/2019,17:11,Tarjeta de credito,277.56,4.761904762,13.878
685-64-1609,REYES,Miembro,Femenino,Carnes y Embutidos,30.14,10,15.07,316.47,2/10/2019,12:28,Monedero electrónico,301.4,4.761904762,15.07
568-90-5112,REYES,Normal,Masculino,Despensa y Abarrotes,66.14,4,13.228,277.788,3/19/2019,12:46,Tarjeta de credito,264.56,4.761904762,13.228
262-47-2794,SUR,Miembro,Masculino,Lacteos,71.86,8,28.744,603.624,3/6/2019,15:07,Tarjeta de credito,574.88,4.761904762,28.744
238-49-0436,URUBO FIDALGA,Normal,Masculino,Despensa y Abarrotes,32.46,8,12.984,272.664,3/27/2019,13:48,Tarjeta de credito,259.68,4.761904762,12.984
608-96-3517,EQUIPETROL,Miembro,Femenino,Panaderia,91.54,4,18.308,384.468,3/23/2019,19:20,Tarjeta de credito,366.16,4.761904762,18.308
584-86-7256,REYES,Miembro,Masculino,Bebidas,34.56,7,12.096,254.016,3/11/2019,16:07,Tarjeta de credito,241.92,4.761904762,12.096
746-94-0204,TROMPILLO,Normal,Masculino,Limpieza Del Hogar,83.24,9,37.458,786.618,1/29/2019,11:56,Tarjeta de credito,749.16,4.761904762,37.458
214-17-6927,SUR,Normal,Femenino,Carnes y Embutidos,16.48,6,4.944,103.824,2/7/2019,18:23,Monedero electrónico,98.88,4.761904762,4.944
400-89-4171,REYES,Normal,Femenino,Snack y Dulces,80.97,8,32.388,680.148,1/28/2019,13:05,Efectivo,647.76,4.761904762,32.388
782-95-9291,URUBO FIDALGA,Miembro,Masculino,Limpieza Del Hogar,92.29,5,23.0725,484.5225,2/20/2019,15:55,Tarjeta de credito,461.45,4.761904762,23.0725
279-74-2924,REYES,Miembro,Masculino,Congelados,72.17,1,3.6085,75.7785,1/4/2019,19:40,Efectivo,72.17,4.761904762,3.6085
307-85-2293,TROMPILLO,Normal,Masculino,Limpieza Del Hogar,50.28,5,12.57,263.97,3/7/2019,13:58,Monedero electrónico,251.4,4.761904762,12.57
743-04-1105,REYES,Miembro,Masculino,Snack y Dulces,97.22,9,43.749,918.729,3/30/2019,14:43,Monedero electrónico,874.98,4.761904762,43.749
423-57-2993,SUR,Normal,Masculino,Congelados,93.39,6,28.017,588.357,3/27/2019,19:18,Monedero electrónico,560.34,4.761904762,28.017
894-41-5205,SUR,Normal,Femenino,Lacteos,43.18,8,17.272,362.712,1/19/2019,19:39,Tarjeta de credito,345.44,4.761904762,17.272
275-28-0149,REYES,Normal,Masculino,Snack y Dulces,63.69,1,3.1845,66.8745,2/25/2019,16:21,Efectivo,63.69,4.761904762,3.1845
101-17-6199,URUBO FIDALGA,Normal,Masculino,Lacteos,45.79,7,16.0265,336.5565,3/13/2019,19:44,Tarjeta de credito,320.53,4.761904762,16.0265
423-80-0988,EQUIPETROL,Normal,Masculino,Bebidas,76.4,2,7.64,160.44,1/30/2019,19:42,Monedero electrónico,152.8,4.761904762,7.64
548-46-9322,EQUIPETROL,Normal,Masculino,Cuidado Personal,39.9,10,19.95,418.95,2/20/2019,15:24,Tarjeta de credito,399.0,4.761904762,19.95
505-02-0892,REYES,Miembro,Masculino,Congelados,42.57,8,17.028,357.588,2/25/2019,14:12,Monedero electrónico,340.56,4.761904762,17.028
234-65-2137,REYES,Normal,Masculino,Snack y Dulces,95.58,10,47.79,1003.59,1/16/2019,13:32,Efectivo,955.8,4.761904762,47.79
687-47-8271,EQUIPETROL,Normal,Masculino,Panaderia,98.98,10,49.49,1039.29,2/8/2019,16:20,Tarjeta de credito,989.8,4.761904762,49.49
796-32-9050,URUBO FIDALGA,Normal,Masculino,Carnes y Embutidos,51.28,6,15.384,323.064,1/19/2019,16:31,Efectivo,307.68,4.761904762,15.384
105-31-1824,TROMPILLO,Miembro,Masculino,Cuidado Personal,69.52,7,24.332,510.972,2/1/2019,15:10,Tarjeta de credito,486.64,4.761904762,24.332
249-42-3782,SUR,Normal,Masculino,Limpieza Del Hogar,70.01,5,17.5025,367.5525,1/3/2019,11:36,Monedero electrónico,350.05,4.761904762,17.5025
316-55-4634,REYES,Miembro,Masculino,Cuidado Personal,80.05,5,20.0125,420.2625,1/26/2019,12:45,Tarjeta de credito,400.25,4.761904762,20.0125
